City,Latitude,Longitute,Max Temp (F),Humidity,Cloudiness,Wind Speed,Country,Date
Yulara,-25.2406,130.9889,73.4,25,0,16.11,AU,1618720275
Manicoré,-5.8092,-61.3003,73.4,94,75,2.3,BR,1618720275
Jutaí,-5.1833,-68.9,72.57,98,96,1.68,BR,1618720276
Cabo San Lucas,22.8909,-109.9124,71.01,81,1,1.01,MX,1618720276
Cap Malheureux,-19.9842,57.6142,80.01,78,75,5.01,MU,1618720267
Kita,13.0349,-9.4895,79.93,52,51,2.55,ML,1618720277
Sirte,31.2089,16.5887,62.69,87,100,9.91,LY,1618720277
Mitsamiouli,-11.3847,43.2844,78.8,78,20,4.61,KM,1618720278
Burns Lake,54.2331,-125.7533,46.4,53,41,1.14,CA,1618720278
Northampton,40.8754,-75.2499,45.0,83,100,4.03,US,1618720041
Valparaíso,-33.0393,-71.6273,57.0,80,82,6.02,CL,1618720278
Phagwāra,31.2178,75.7694,88.0,35,89,0.72,IN,1618720279
Pevek,69.7008,170.3133,25.43,79,6,19.75,RU,1618720279
Garissa,-0.4536,39.6401,80.94,74,42,14.81,KE,1618720279
Poconé,-16.2567,-56.6228,71.64,91,7,3.09,BR,1618720201
Vestmanna,62.1564,-7.1664,44.6,100,100,23.02,FO,1618720280
Goianápolis,-16.5106,-49.0239,69.8,88,75,4.61,BR,1618720280
Katsuura,35.1333,140.3,69.8,26,20,21.85,JP,1618720281
Kaseda-shirakame,31.4167,130.3167,60.8,36,20,18.41,JP,1618720281
Warri,5.5167,5.75,77.95,91,100,2.08,NG,1618720282
Vila Velha,-20.3297,-40.2925,69.8,94,20,2.3,BR,1618720282
Sur,22.5667,59.5289,87.42,43,87,3.24,OM,1618720282
Claresholm,50.0333,-113.5852,51.01,33,92,8.05,CA,1618720210
Redmond,47.674,-122.1215,63.0,53,1,2.71,US,1618720283
Yar-Sale,66.8333,70.8333,3.36,93,65,11.72,RU,1618720079
Esperance,-33.8667,121.9,75.2,35,75,6.91,AU,1618720283
Hongjiang,27.11,109.9956,58.51,96,100,3.58,CN,1618720284
Am Timan,11.0297,20.2827,79.63,13,100,6.35,TD,1618720096
Lavrentiya,65.5833,-171.0,30.45,90,45,6.91,RU,1618720034
Ola,59.5833,151.2833,31.82,96,100,4.18,RU,1618720284
Santa Inês,-3.6667,-45.38,72.73,96,100,1.41,BR,1618720284
Catumbela,-12.4314,13.5472,78.21,71,22,4.21,AO,1618720285
Okhotsk,59.3833,143.3,30.27,89,98,4.85,RU,1618720285
Gambēla,8.25,34.5833,86.83,36,53,1.32,ET,1618720286
Alappuzha,9.49,76.3264,82.99,75,98,2.95,IN,1618720286
Yumen,40.2833,97.2,61.79,9,100,3.62,CN,1618720179
Makokou,0.5738,12.8642,68.13,96,100,2.13,GA,1618720286
Arkhara,49.4212,130.0842,54.57,42,5,4.88,RU,1618720287
Port Macquarie,-31.4333,152.9167,71.01,63,32,5.99,AU,1618720287
Sturgeon Falls,46.3646,-79.9326,39.99,87,1,2.3,CA,1618720288
Broken Hill,-31.95,141.4333,64.4,39,0,10.36,AU,1618720288
Fortuna,40.5982,-124.1573,48.99,93,90,3.6,US,1618720084
Kailua,21.4022,-157.7394,77.0,64,40,11.5,US,1618720288
Guilin,25.2819,110.2864,64.4,100,90,2.24,CN,1618720289
Mareeba,-17.0,145.4333,82.99,94,90,10.36,AU,1618720289
Khuzhir,53.1939,107.3397,32.77,45,8,8.32,RU,1618720290
Hualmay,-11.0964,-77.6139,66.79,89,74,6.2,PE,1618720290
Ulaanbaatar,47.9077,106.8832,50.0,32,0,15.66,MN,1618720291
Half Moon Bay,37.4636,-122.4286,57.0,93,90,12.66,US,1618720291
Hamilton,39.1834,-84.5333,46.0,81,1,5.75,US,1618720210
Manono,-7.3,27.4167,68.77,90,60,7.4,CD,1618720291
Areosa,41.7178,-8.8571,55.0,71,0,9.22,PT,1618720292
Lotoshino,56.2267,35.6414,44.02,67,40,14.5,RU,1618720292
Jimeta,9.2833,12.4667,78.49,67,100,7.92,NG,1618720233
Burnie,-41.0667,145.9167,61.0,62,65,8.01,AU,1618720293
Beringovskiy,63.05,179.3167,32.29,98,100,9.98,RU,1618720048
Seoul,37.5683,126.9778,59.0,47,20,11.5,KR,1618720037
Namatanai,-3.6667,152.4333,84.88,71,93,15.17,PG,1618720294
Hornepayne,49.2138,-84.7705,32.31,70,43,3.47,CA,1618720294
Ayan,56.45,138.1667,28.38,89,98,4.38,RU,1618720131
Portland,45.5234,-122.6762,68.0,39,1,0.76,US,1618719590
Egvekinot,66.3167,-179.1667,27.7,98,100,10.04,RU,1618720295
Kaeo,-35.1,173.7833,62.01,72,99,3.0,NZ,1618720126
Koslan,63.4564,48.8989,29.35,54,12,7.16,RU,1618720295
Coroico,-16.1889,-67.7271,61.18,97,82,1.05,BO,1618720296
Benguela,-12.5763,13.4055,78.48,71,9,4.88,AO,1618720296
Grindavik,63.8424,-22.4338,33.8,80,75,11.5,IS,1618720039
Broome,42.2506,-75.833,43.0,87,90,3.44,US,1618720297
Vuktyl,63.8567,57.3094,23.43,58,69,11.27,RU,1618720297
Harare,-17.8294,31.0539,50.0,87,99,3.0,ZW,1618720298
Lodja,-3.4833,23.4333,70.57,97,100,3.56,CD,1618720298
Great Yarmouth,52.6083,1.7305,36.0,93,77,4.61,GB,1618720299
Dunkirk,51.05,2.3667,43.0,85,97,1.01,FR,1618720299
Tiznit Province,29.5833,-9.5,58.91,68,3,0.63,MA,1618720299
Ahipara,-35.1667,173.1667,61.21,60,100,5.01,NZ,1618720300
Kruisfontein,-34.0033,24.7314,60.8,29,2,2.66,ZA,1618720300
Zhangzhou,24.5133,117.6556,77.0,41,0,13.42,CN,1618720301
Provideniya,64.3833,-173.3,29.64,93,58,3.74,RU,1618720301
Pachino,36.7186,15.0907,50.0,93,20,3.44,IT,1618720301
Vila Franca do Campo,37.7167,-25.4333,62.6,94,75,11.5,PT,1618720302
Haines Junction,60.7522,-137.5108,48.2,37,11,4.61,CA,1618720302
Nome,64.5011,-165.4064,33.8,69,1,8.05,US,1618720302
Anshun,26.25,105.9333,55.65,94,100,3.56,CN,1618720303
Kuril'sk,45.2333,147.8833,39.33,93,100,27.4,RU,1618720304
Kloulklubed,7.0419,134.2556,86.0,79,75,8.05,PW,1618720304
Jiuquan,39.7432,98.5174,63.19,9,100,3.51,CN,1618720304
Norman Wells,65.282,-126.8329,42.8,49,75,3.44,CA,1618720039
Nanchang,28.6833,115.8833,61.74,64,100,8.08,CN,1618720305
Byron Bay,-28.65,153.6167,71.6,60,64,19.57,AU,1618720305
Carlisle,40.2015,-77.1889,46.0,62,99,4.38,US,1618720306
Nioro,13.35,-15.75,76.35,35,100,3.36,GM,1618720306
Port-Gentil,-0.7193,8.7815,82.65,75,100,4.27,GA,1618720163
Lunca Bradului,46.956,25.1114,34.0,81,97,5.68,RO,1618720307
Balakhta,55.38,91.6,32.13,79,100,9.13,RU,1618720307
Narrabri,-30.3167,149.7833,70.0,42,3,13.8,AU,1618720307
Kathmandu,27.7167,85.3167,71.6,49,20,2.3,NP,1618720242
Listvyanskiy,54.4399,83.4984,39.99,47,100,8.01,RU,1618720308
Kolondiéba,11.0882,-6.8926,76.53,65,99,3.89,ML,1618720308
Obama,35.4958,135.746,55.99,56,87,11.99,JP,1618720308
Ojinaga,29.5667,-104.4167,57.2,38,1,13.8,MX,1618720309
Moalboal,9.9433,123.3992,86.0,70,90,9.01,PH,1618720309
Rivadavia,-33.1905,-68.4608,71.6,56,40,3.44,AR,1618720310
Fairbanks,64.8378,-147.7164,53.6,32,1,6.91,US,1618720310
Eureka,40.8021,-124.1637,48.0,94,3,1.01,US,1618720310
Guerrero Negro,27.9769,-114.0611,58.3,81,0,17.13,MX,1618720296
Hay River,60.8156,-115.7999,35.6,75,95,9.22,CA,1618720311
Labuhan,-6.8844,112.2051,86.07,62,95,2.64,ID,1618720311
Jaisalmer,26.9147,70.9181,93.06,19,0,3.22,IN,1618720312
Takaungu,-3.6837,39.8566,77.0,100,75,12.66,KE,1618720312
Susuman,62.7833,148.1667,30.16,76,100,18.75,RU,1618720313
Miramar,25.9873,-80.2323,77.0,78,1,6.91,US,1618720193
Andenes,69.3143,16.1194,42.01,60,100,13.8,NO,1618720313
Quatre Cocos,-20.2078,57.7625,80.6,78,75,6.91,MU,1618720313
Kirgiz-Miyaki,53.6324,54.7979,48.56,49,1,11.83,RU,1618720314
Kununurra,-15.7667,128.7333,89.6,23,82,11.5,AU,1618720314
Ascension,30.2169,-90.9001,59.0,94,75,10.36,US,1618720315
Hofn,64.2539,-15.2082,43.47,97,100,12.33,IS,1618720040
Erenhot,43.6475,111.9767,65.48,7,4,20.83,CN,1618720315
Virginia Beach,36.8529,-75.978,54.0,71,75,5.75,US,1618720176
Alvarado,18.7667,-95.7667,78.8,83,40,14.97,MX,1618720316
Scottsbluff,41.8666,-103.6672,35.01,75,20,2.59,US,1618720316
Tarrafal,15.2833,-23.7667,68.0,83,20,17.27,CV,1618720316
Saldanha,-33.0117,17.9442,60.8,39,0,7.81,ZA,1618720317
Avera,33.194,-82.5271,62.6,82,90,4.61,US,1618720317
San Blas,21.5167,-105.2667,69.03,75,0,4.05,MX,1618720318
Ca Mau,9.1769,105.15,95.43,42,89,4.07,VN,1618720318
Padang,-0.9492,100.3543,86.0,62,20,5.75,ID,1618720319
Clyde River,70.4692,-68.5914,5.0,92,90,10.36,CA,1618720319
Rosetown,51.5501,-108.0014,46.4,36,100,9.22,CA,1618720319
The Valley,18.217,-63.0578,79.0,89,20,10.36,AI,1618720285
Bonavista,48.6499,-53.1147,35.01,93,100,3.44,CA,1618720320
Windhoek,-22.5594,17.0832,57.0,76,55,14.97,NA,1618720320
Merauke,-8.4667,140.3333,77.68,90,100,3.2,ID,1618720321
Alyangula,-13.8483,136.4192,87.8,51,86,11.5,AU,1618720321
Boa Vista,2.8197,-60.6733,78.8,78,0,5.75,BR,1618720321
Shīeli,44.1667,66.75,73.04,22,34,3.85,KZ,1618720322
Atbasar,51.8,68.3333,56.35,59,9,10.6,KZ,1618720322
